Year,Males,Females
1990,1808615,1878277
1991,1826040,1896288
1992,1847505,1917964
1993,1870723,1941483
1994,1889096,1959992
1995,1908240,1979187
1996,1924373,1995162
1997,1941037,2011710
1998,1957442,2027948
1999,1973852,2044201
2000,1975368,2066401
2001,1991295,2076837
2002,2002276,2087599
2003,2015830,2101340
2004,2033808,2112293
2005,2053930,2128812
2006,2071051,2148188
2007,2092237,2164435
2008,2105293,2184585
2009,2124027,2193047
2010,2134952,2204415
2011,2149724,2219630
2012,2158681,2226118
2013,2167597,2232880
2014,2173877,2239180
2015,2180242,2244369
2016,2186553,2250421
2017,2194318,2259871
